Title,Price,Area,Rooms,Address,Owner Type,Owner Name,URL,Class
იყიდება 2 ოთახიანი ბინა საბურთალოზე,88000 $,51.87 m²,2.0,აკაკი ბაქრაძის ქ.7 #140,physical,ზაზა,https://www.myhome.ge/pr/19933897/iyideba-2-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა საბურთალოზე,130000 $,53.15 m²,2.0,ს. ეულის ქ. 5,physical,ირინა,https://www.myhome.ge/pr/19714453/iyideba-2-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 1 ოთახიანი ბინა დიდ დიღომში,42090 $,36.6 m²,1.0,ფარნავაზ მეფის გამზ. 35,physical,რესტარტ დიღომი,https://www.myhome.ge/pr/20660278/iyideba-1-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა საბურთალოზე,115000 $,80 m²,3.0,კოსტავას ქ. 75,physical,დავით,https://www.myhome.ge/pr/20581471/iyideba-3-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 4 ოთახიანი ბინა ავლაბარში,265000 $,125 m²,4.0,ბოჭორმის ქუჩა 18,physical,გიორგი,https://www.myhome.ge/pr/19903730/iyideba-4-otaxiani-bina-avlabarshi/,SUPER_VIP
იყიდება 4 ოთახიანი ბინა საბურთალოზე,150000 $,107 m²,4.0,მინდელის ქუჩა 12,physical,მირიანი,https://www.myhome.ge/pr/19805305/iyideba-4-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა მუხიანში,63940 $,55.6 m²,2.0,გაბაშვილი რ. ქ. 11,physical,ირმა,https://www.myhome.ge/pr/19182556/iyideba-2-otaxiani-bina-muxianshi/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა საბურთალოზე,110050 $,71 m²,2.0,მარშალი გელოვანი გამზირი ,agent,davit,https://www.myhome.ge/pr/20656122/iyideba-2-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა ფონიჭალაში,58500 $,59.6 m²,3.0,რუსთავის გზატკეცილი ,physical,გიორგი,https://www.myhome.ge/pr/20373682/iyideba-3-otaxiani-bina-fonichalashi/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა დიდ დიღომში,66000 $,53.5 m²,2.0,მირიან მეფის ქ. ,physical,ილია,https://www.myhome.ge/pr/20567760/iyideba-2-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა დიდ დიღომში,63000 $,41.03 m²,2.0,ასმათის ქ. 30,physical,ილია,https://www.myhome.ge/pr/20067235/iyideba-2-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა ნუცუბიძის ფერდობზე,98000 $,103 m²,3.0,კაპანელი კ. ქ. 21,physical,დათო,https://www.myhome.ge/pr/19254655/iyideba-3-otaxiani-bina-nutsubidzis-ferdobze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა კრწანისში,175000 $,63 m²,2.0,კრწანისის ქ. 49,physical,გიორგი,https://www.myhome.ge/pr/20308666/iyideba-2-otaxiani-bina-krwanisshi/,SUPER_VIP
იყიდება 4 ოთახიანი ბინა საბურთალოზე,127000 $,89 m²,4.0,"გამრეკელი დავითის ქუჩა1,2,6,7,8,10,12,16.-კორპუსები; შესახვევი; ",physical,ნიკა,https://www.myhome.ge/pr/20208144/iyideba-4-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა გლდანში,87000 $,45 m²,2.0,ქერჩის ქ. 34,physical,ნათია,https://www.myhome.ge/pr/20505750/iyideba-2-otaxiani-bina-gldanshi/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა ნუცუბიძის ფერდობზე,98000 $,103 m²,3.0,კაპანელი კ. ქ. 21,physical,დათო,https://www.myhome.ge/pr/19254655/iyideba-3-otaxiani-bina-nutsubidzis-ferdobze/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა საბურთალოზე,150000 $,92 m²,3.0,მინდელის ქუჩა ,physical,GL,https://www.myhome.ge/pr/19302717/iyideba-3-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა დიდ დიღომში,104000 $,70 m²,3.0,მირიან მეფის ქ. 49,physical,ლევან,https://www.myhome.ge/pr/20609081/iyideba-3-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა ვაკეში,189000 $,84.8 m²,3.0,შროშის ქუჩა 2,physical,გიორგი,https://www.myhome.ge/pr/19600081/iyideba-3-otaxiani-bina-vakeshi/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა დიდ დიღომში,75000 $,59.6 m²,3.0,მირიან მეფის ქ. 18,physical,ილია,https://www.myhome.ge/pr/20362315/iyideba-3-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 6 ოთახიანი ბინა საბურთალოზე,170000 $,115 m²,7.0,"ალექსიძე მერაბის ქუჩა კორპუსი #1, 2, 3, 4 1",physical,სალომე,https://www.myhome.ge/pr/20348675/iyideba-6-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა საბურთალოზე,86000 $,80 m²,3.0,ვაჟა-ფშაველა - II კვარტალი ,physical,დავით,https://www.myhome.ge/pr/20428910/iyideba-3-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა დიდ დიღომში,59745 $,56.9 m²,2.0,თეიმურაზ I ქ. ,physical,ნინი,https://www.myhome.ge/pr/19893286/iyideba-2-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა საბურთალოზე,94700 $,45 m²,2.0,ყაზბეგის გამზ. 0,physical,მარი,https://www.myhome.ge/pr/20642898/iyideba-2-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა ორთაჭალაში,80109 $,62.1 m²,2.0,ნადიკვარის დას; 3-ქ 3,physical,ნიკა (მეპატრონე),https://www.myhome.ge/pr/18539147/iyideba-2-otaxiani-bina-ortachalashi/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა ნუცუბიძის ფერდობზე,150000 $,155 m²,3.0,კაპანელი კ. ქ. 21,physical,D,https://www.myhome.ge/pr/19254622/iyideba-3-otaxiani-bina-nutsubidzis-ferdobze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა ისანში,74000 $,51 m²,2.0,ნავთლუღის ქ. ,physical,ბუბა,https://www.myhome.ge/pr/20654459/iyideba-2-otaxiani-bina-isanshi/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა დიღომი 1-9-ში,75000 $,67 m²,3.0,დიღმის ჭალა ,physical,საბა,https://www.myhome.ge/pr/19952500/iyideba-3-otaxiani-bina-dighomi-1-9-shi/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა დიდუბეში,53000 $,74 m²,2.0,ნ. ხოშარაულის ქ. ,physical,გიორგი,https://www.myhome.ge/pr/20591771/iyideba-2-otaxiani-bina-didubeshi/,SUPER_VIP
იყიდება 4 ოთახიანი ბინა საბურთალოზე,314500 $,185 m²,4.0,შარტავას ქ. 43,physical,შოთა,https://www.myhome.ge/pr/20625319/iyideba-4-otaxiani-bina-saburtaloze/,SUPER_VIP
